5.2	0.65	5.2	0.95
5.2	0.95	5.5	0.95
5.5	0.95	5.5	0.65
5.5	0.65	5.2	0.65
5.4	1.55	5.8	1.55
5.8	1.55	5.8	1.85
5.8	1.85	5.4	1.85
5.4	1.85	5.4	1.55
5	1.45	5.45	1.45
5.75	1.45	6.2	1.45
6.2	1.45	6.2	1.95
6.2	1.95	5.75	1.95
5.45	1.95	5	1.95
4.85	5.1	4.8	5.05
4.75	5.1	4.8	5.05
4.8	4.55	4.8	3
4.8	2.5	4.75	2.45
4.8	2.5	4.85	2.45
5.3	4.15	5.25	4.2
5.3	4.15	5.35	4.2
5.3	3.65	5.25	3.6
5.3	3.65	5.35	3.6
2.82	4.48	2.77	4.48
2.82	4.48	2.82	4.53
3.18	4.12	3.18	4.07
3.18	4.12	3.23	4.12
2.82	2.62	2.77	2.62
2.82	2.62	2.82	2.57
3.18	2.98	3.23	2.98
3.18	2.98	3.18	3.03
1	0	1	0
1.4	1.75	2	1.75
2	1.75	2	2.25
2	2.25	1.4	2.25
1.4	2.25	1.4	1.75
2	1.75	2	1.6

